Name,Sigma,Kernel Size,Activator,Batch Size,Domain,Channels,Total runtime (seconds),Total runtime (minutes),Best Validation PSNR,Final Validation PSNR,Final Validation SSIM,Final Validation RMSE,Final Validation MAE,Final Validation MSE,Final Set12 PSNR,Final Set12 SSIM,Final Set12 RMSE,Final Set12 MAE,Final Set12 MSE
sigma15_k5_actleakyrelu_bs8_fourier_complex,15,5,leakyrelu,8,fourier_complex,2,3436.08,57.27,51.6429,51.64285835857389,0.9985994432392599,0.0029882958513710615,0.001446391813635059,8.929912095321497e-06,51.1662797348094,0.9982912798706055,0.003083605318197181,0.0014273483053936313,9.508621758413938e-06
sigma15_k5_actleakyrelu_bs16_image,15,5,leakyrelu,16,image,1,3168.81,52.81,31.47,31.470012641372893,0.8887743344434744,0.028427113156799733,0.019901368767023087,0.0008081007624294965,32.42009858496196,0.8963444359112493,0.02417378011487575,0.017309493152424693,0.0005843716450423623
sigma15_k5_actleakyrelu_bs16_fourier_complex,15,5,leakyrelu,16,fourier_complex,2,3219.15,53.65,50.1535,50.15352045828204,0.9918231920376679,0.005488287077307308,0.002091789154185201,3.0121295042938393e-05,50.388067934502835,0.9974312199672831,0.0033293207984426195,0.0016820794650508712,1.10843769789426e-05
sigma15_k5_actleakyrelu_bs32_image,15,5,leakyrelu,32,image,1,3191.44,53.19,31.3134,31.313377003652505,0.8865872288679201,0.029020988291014595,0.02024007461937692,0.0008422177613872062,32.11493255029591,0.8944356992390695,0.025295840945875756,0.01771316840313375,0.0006398795691590445
sigma15_k5_actleakyrelu_bs32_fourier_complex,15,5,leakyrelu,32,fourier_complex,2,3245.51,54.09,51.0809,51.080932314683565,0.9982031773629427,0.003148347502308877,0.0015772307455977973,9.912091995294545e-06,50.41924467854934,0.9976308310634098,0.0033441929346378083,0.0016319112910423428,1.1183626384081435e-05
sigma15_k5_actleakyrelu_bs64_image,15,5,leakyrelu,64,image,1,3043.44,50.72,31.2908,31.290751589080145,0.8843580248903787,0.028935280731469823,0.020413622506620252,0.0008372504710089689,32.17745788889596,0.8909239760460984,0.024844603472308362,0.01790172598945598,0.0006172543216962367
sigma15_k5_actleakyrelu_bs64_fourier_complex,15,5,leakyrelu,64,fourier_complex,2,3078.17,51.3,43.2753,43.275304326054396,0.9892955627003095,0.006909072126048551,0.002825912584632854,4.773527764294105e-05,43.000533349220206,0.9877183379123333,0.007330964648332386,0.0029284314756902554,5.374304267509918e-05
sigma25_k3_actrelu_bs8_image,25,3,relu,8,image,1,1780.2,29.67,29.1452,29.145183848700615,0.8290131265307492,0.037676781429550325,0.025663451017702326,0.0014195398588901084,30.185493360649474,0.8571656510961946,0.031448031017593005,0.02178198021526138,0.0009889786548834916
sigma25_k3_actrelu_bs8_fourier_complex,25,3,relu,8,fourier_complex,2,1848.46,30.81,48.7537,48.75372715984521,0.9951896077512238,0.0038848741972786482,0.002258905993692358,1.5092247528681422e-05,48.36836617236494,0.9947652687232296,0.004075711582250101,0.0022699043911416084,1.6611424901687617e-05
sigma25_k3_actrelu_bs16_image,25,3,relu,16,image,1,1710.05,28.5,29.1766,29.176624405426043,0.8300125209947181,0.037579843275754136,0.025548628983361757,0.0014122446206302436,30.270321689076994,0.8586283683829548,0.031101952181761615,0.021560420282185078,0.0009673314295165861
sigma25_k3_actrelu_bs16_fourier_complex,25,3,relu,16,fourier_complex,2,1748.03,29.13,47.993,47.992979492266,0.9954595658504275,0.004180716451046187,0.0025679644279401094,1.7478390044048222e-05,47.772503091394206,0.9950992661393919,0.004317417294384081,0.0025595182669349015,1.864009209384676e-05
sigma25_k3_actrelu_bs32_image,25,3,relu,32,image,1,1675.42,27.92,29.1023,29.102275917050434,0.828513141848617,0.03784032767681201,0.025811553508152858,0.0014318903986885049,30.16431709296359,0.8552505555132733,0.03147513063213482,0.021906190707037847,0.0009906838483099516
sigma25_k3_actrelu_bs32_fourier_complex,25,3,relu,32,fourier_complex,2,1732.53,28.88,47.5242,47.52415670270405,0.9898584478757464,0.004795237190934827,0.002903359925018295,2.2994299717324527e-05,47.289421838638994,0.9909545909967069,0.00455481531949126,0.0028133540569494167,2.0746342594672267e-05
sigma25_k3_actrelu_bs64_image,25,3,relu,64,image,1,1720.58,28.68,28.9144,28.914431608773693,0.8176628749387239,0.038474632964038157,0.02658099209999337,0.0014802973817174515,29.90606037975787,0.8440568710148009,0.03240014741302491,0.022763754551609356,0.0010497695523857449
sigma25_k3_actrelu_bs64_fourier_complex,25,3,relu,64,fourier_complex,2,1770.79,29.51,48.0977,48.09766836432873,0.9953073837801694,0.004155963329158346,0.0024217162418234,1.7272031193308922e-05,47.8383892262846,0.9947680407145857,0.004309634011453231,0.0024168410842927792,1.8572945312674467e-05
sigma25_k3_actleakyrelu_bs8_image,25,3,leakyrelu,8,image,1,1804.97,30.08,29.1547,29.154684725863447,0.8306378131335302,0.03764041621336857,0.02563772157437223,0.0014168009327156195,30.25268715753951,0.8581367008237932,0.031156098952615965,0.02164646703749895,0.0009707025019451976
sigma25_k3_actleakyrelu_bs8_fourier_complex,25,3,leakyrelu,8,fourier_complex,2,1879.27,31.32,48.7023,48.70233791880092,0.995510453754827,0.00391709590008368,0.002239363208098118,1.5343640290452374e-05,48.09803781803606,0.9947904723343951,0.004208319372164477,0.0022653955481170365,1.770995193813481e-05
sigma25_k3_actleakyrelu_bs16_image,25,3,leakyrelu,16,image,1,1739.74,29.0,29.1329,29.13290326037264,0.8271667588017366,0.03769331677112015,0.025750607950612903,0.0014207861292080076,30.234861807085057,0.8562500024982022,0.031227207890460705,0.021717372971276443,0.0009751385126340514
sigma25_k3_actleakyrelu_bs16_fourier_complex,25,3,leakyrelu,16,fourier_complex,2,1782.45,29.71,48.5036,48.50357804970573,0.9945719930551796,0.003988087880902429,0.0023217044500223197,1.5904844945800825e-05,48.04480485126995,0.994025954940119,0.004221342095294716,0.002324165815177063,1.781972908550718e-05
sigma25_k3_actleakyrelu_bs32_image,25,3,leakyrelu,32,image,1,1694.54,28.24,29.0375,29.03752168001715,0.8262879278785983,0.03804022081194967,0.02610726535375066,0.0014470583994218888,30.087542496341342,0.8522251448662149,0.03173925775774122,0.02216577949002385,0.001007380483012336
sigma25_k3_actleakyrelu_bs32_fourier_complex,25,3,leakyrelu,32,fourier_complex,2,1725.19,28.75,48.4607,48.46067704395157,0.9944524514308268,0.004001929502413182,0.0023234027698088217,1.6015439742285013e-05,48.090637122681926,0.9939093607496989,0.004190960122664905,0.0023211640655063093,1.7564146749767435e-05
sigma25_k3_actleakyrelu_bs64_image,25,3,leakyrelu,64,image,1,1711.66,28.53,28.8171,28.81708848324313,0.8133612524050532,0.03882161850472727,0.02683948096819222,0.0015071180633265827,29.75942677378066,0.8394310609384479,0.03293039824743316,0.023204723373055458,0.0010844111287345488
sigma25_k3_actleakyrelu_bs64_fourier_complex,25,3,leakyrelu,64,fourier_complex,2,1762.12,29.37,46.2993,46.29931806381863,0.9877592549237934,0.005089416816251995,0.0033100317471989374,2.5902163529548596e-05,46.28150245476109,0.98873997561572,0.00504653149952487,0.003171072186281284,2.546748017569674e-05
sigma25_k5_actrelu_bs8_image,25,5,relu,8,image,1,3229.81,53.83,26.675,26.67498646119044,0.7771554973763122,0.0584922430301863,0.03232202268041232,0.0034213424947023775,27.029718636268914,0.8007058939376516,0.061287535733206826,0.029691068766017754,0.0037561620362491035
sigma25_k5_actrelu_bs8_fourier_complex,25,5,relu,8,fourier_complex,2,3411.87,56.86,50.301,50.30096656728436,0.9980527745750363,0.003386125622238484,0.0017215404008953448,1.1465846729579961e-05,49.91579290314733,0.9977523793866098,0.003537363308883101,0.0017080414691008627,1.25129391790324e-05
