Name,Sigma,Kernel,Activation,Batch Size,Domain,Val PSNR,Val SSIM,Val RMSE,Val MAE,Set12 PSNR,Set12 SSIM,Set12 RMSE,Set12 MAE,Runtime (min)
sigma50_k3_actleakyrelu_bs16_image,50,3,leakyrelu,16,image,26.1688,0.7174,0.05346,0.03600,26.9968,0.7726,0.04548,0.03103,28.7
sigma50_k3_actleakyrelu_bs16_fourier_complex,50,3,leakyrelu,16,fourier_complex,44.1294,0.9850,0.00632,0.00390,44.1541,0.9838,0.00641,0.00393,29.5
sigma50_k3_actleakyrelu_bs32_image,50,3,leakyrelu,32,image,26.1309,0.7127,0.05369,0.03609,26.9263,0.7688,0.04588,0.03125,28.3
sigma50_k3_actleakyrelu_bs32_fourier_complex,50,3,leakyrelu,32,fourier_complex,43.7513,0.9829,0.00661,0.00419,43.3778,0.9825,0.00706,0.00421,29.1
sigma50_k3_actleakyrelu_bs64_image,50,3,leakyrelu,64,image,25.9837,0.6995,0.05446,0.03688,26.7078,0.7541,0.04705,0.03229,28.9
sigma50_k3_actleakyrelu_bs64_fourier_complex,50,3,leakyrelu,64,fourier_complex,43.2871,0.9776,0.00694,0.00447,42.9502,0.9763,0.00736,0.00449,29.7
sigma50_k5_actrelu_bs8_image,50,5,relu,8,image,25.9995,0.7143,0.05456,0.03640,26.8471,0.7713,0.04637,0.03134,55.7
sigma50_k5_actrelu_bs8_fourier_complex,50,5,relu,8,fourier_complex,43.3688,0.9886,0.01264,0.00411,44.8344,0.9898,0.00601,0.00365,57.2
sigma50_k5_actrelu_bs16_image,50,5,relu,16,image,26.0122,0.7058,0.05419,0.03680,26.7991,0.7595,0.04648,0.03197,53.4
sigma50_k5_actrelu_bs16_fourier_complex,50,5,relu,16,fourier_complex,42.2276,0.9847,0.01691,0.00533,43.1450,0.9843,0.00712,0.00507,54.1
sigma50_k5_actrelu_bs32_image,50,5,relu,32,image,25.8113,0.7038,0.05565,0.03690,26.8278,0.7607,0.04637,0.03178,53.0
